state,county,region,metro_status,rural_urban_code,perc_complete_vac,tot_pop,votes_Trump,votes_Biden,perc_Biden,ed_somecol_perc,ed_bachormore_perc,unemployment_rate_2020,median_HHincome_2019
South Dakota,Hamlin County,Midwest,Non-metro,9,40.4,6164,2372,647,20.9860525,28.29879951,20.99236679,3.5,60864
Indiana,Wabash County,Midwest,Non-metro,6,38.7,30996,10762,3494,23.9758457,28.0460186,18.12595367,6.1,59874
Idaho,Fremont County,West,Non-metro,6,37.5,13099,5548,998,14.8534008,34.70042801,21.69519806,3.6,56162
Virginia,Mecklenburg County,South,Non-metro,7,40.7,30587,9266,6803,41.9834609,29.99119759,20.17165565,6.8,43128
North Dakota,McIntosh County,Midwest,Non-metro,9,39.6,2497,1153,261,17.9381443,33.21660995,15.6078043,3.3,47349
Missouri,Douglas County,Midwest,Non-metro,6,22.1,13185,5898,1016,14.5142857,27.29639626,10.81024742,7.7,39773
Georgia,Coffee County,South,Non-metro,7,28.1,43273,10578,4511,29.6503221,25.49172401,13.02406311,5.8,41675
Alabama,Crenshaw County,South,Non-metro,8,31,13772,4864,1700,25.6914009,22.26006126,17.40970039,5.7,43309
Kentucky,Magoffin County,South,Non-metro,9,46.5,12161,4174,1214,22.2874977,23.80952454,9.500915527,16.1,32045
New Jersey,Sussex County,Northeast,Metro,1,56.9,140488,51698,34481,39.0268472,28.15830612,36.11709976,9.4,100281
Tennessee,Rutherford County,South,Metro,1,47.2,332285,81480,59341,41.2439706,31.73033714,32.237052919999996,6.9,69614
North Dakota,Wells County,Midwest,Non-metro,9,40.2,3834,1893,442,18.6183656,31.92071152,22.18045044,4.4,56167
Ohio,Highland County,Midwest,Non-metro,6,34.1,43161,15678,3799,19.3077861,26.2747364,13.44391823,8.7,47126
Michigan,Missaukee County,Midwest,Non-metro,9,44.1,15118,6648,1967,22.4671616,33.63349152,13.98601437,9.1,51317
Illinois,Ford County,Midwest,Metro,3,50.4,12961,5048,1754,25.1758289,33.5630455,21.35242844,6.4,55369
Illinois,McHenry County,Midwest,Metro,1,60.1,307774,82260,78154,47.4875135,32.19926071,34.44386673,8.3,89379
Virginia,Louisa County,South,Non-metro,8,40.5,37591,13294,8269,37.7321469,28.46681976,24.05797195,5.2,64135
Virginia,Surry County,South,Non-metro,8,50.7,6422,2025,2397,53.6121673,28.13004875,20.61793137,5.7,59069
Texas,Kinney County,South,Non-metro,7,44.6,3667,1144,446,27.8228322,29.62462044,12.14068317,6,47076
Indiana,Tipton County,Midwest,Non-metro,6,42.1,15148,6110,1834,22.5973386,23.81787872,24.66752815,6.1,69960
Kansas,Comanche County,Midwest,Non-metro,9,42.9,1700,745,126,13.9380531,43.02884674,16.02564049,3.5,47854
Virginia,Carroll County,South,Non-metro,7,31.5,29791,12659,2842,18.1585841,29.80302238,15.0206871,8.2,45698
Oklahoma,Murray County,South,Non-metro,7,41,14073,4612,1156,19.6131659,28.81758118,17.4164257,6.2,50965
Tennessee,Rhea County,South,Non-metro,6,38.9,33167,11050,2369,17.371856,27.04084015,16.93727112,9.8,47599
South Dakota,Meade County,Midwest,Metro,3,49.7,28332,9875,3285,24.0307242,38.50027466,27.20853806,4.9,59981
Iowa,Calhoun County,Midwest,Non-metro,9,55,9668,3689,1470,27.9573983,37.14448929,18.66514206,4.1,57007
Illinois,Macon County,Midwest,Metro,3,48.5,104009,28589,19847,40.1866888,32.91976547,22.0877285,9.9,52259
Tennessee,Bradley County,South,Metro,3,37.2,108110,35204,9851,21.4782514,30.86524391,22.32666016,6.6,52534
Tennessee,Lewis County,South,Non-metro,6,32.7,12268,4474,1072,19.1121412,31.43666649,10.41199398,7.5,45874
Georgia,Crisp County,South,Non-metro,6,19.4,22372,4985,2982,37.1218723,31.06796074,14.1073904,7.9,40482
Kentucky,Mercer County,South,Non-metro,6,49.6,21933,8506,3033,25.8457605,29.13354492,18.51483917,7.3,55267
Michigan,Roscommon County,Midwest,Non-metro,7,52.9,24019,9670,5166,34.3987215,36.05456543,15.49727726,12.1,42546
Iowa,Johnson County,Midwest,Metro,3,65.2,151140,22925,59177,70.5739943,25.85907555,52.80798721,4.8,67295
